company,company_cn,sheet_name,item,item_cn,unit,value,date,note,status
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,10.00,2025-10-21,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,9.20,2024-10-21,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,13.00,2025-10-22,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,11.96,2024-10-22,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,16.00,2025-10-23,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,14.72,2024-10-23,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,19.00,2025-10-24,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,17.48,2024-10-24,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,22.00,2025-10-25,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_power_generation,发电量,万kWh,20.24,2024-10-25,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,20.00,2025-10-21,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,18.40,2024-10-21,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,23.00,2025-10-22,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,21.16,2024-10-22,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,26.00,2025-10-23,,sample
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,23.92,2024-10-23,,sample_peer
BeiHai,北海热电厂,BeiHai_co_generation_Sheet,amount_heat_supply,供热量,GJ,29.00,2025-10-24,,sample
